rank,full_name,stargazers_count,clone_url,html_url,language,description
77,ssloy/tinyrenderer,22437,https://github.com/ssloy/tinyrenderer.git,https://github.com/ssloy/tinyrenderer,C++,A brief computer graphics / rendering course
78,fmtlib/fmt,22256,https://github.com/fmtlib/fmt.git,https://github.com/fmtlib/fmt,C++,A modern formatting library
79,ml-explore/mlx,22043,https://github.com/ml-explore/mlx.git,https://github.com/ml-explore/mlx,C++,MLX: An array framework for Apple silicon
80,Tencent/ncnn,21968,https://github.com/Tencent/ncnn.git,https://github.com/Tencent/ncnn,C++,ncnn is a high-performance neural network inference framework optimized for the mobile platform
81,chromium/chromium,21540,https://github.com/chromium/chromium.git,https://github.com/chromium/chromium,C++,The official GitHub mirror of the Chromium source
82,electronicarts/CnC_Remastered_Collection,21190,https://github.com/electronicarts/CnC_Remastered_Collection.git,https://github.com/electronicarts/CnC_Remastered_Collection,C++,Command & Conquer: Remastered Collection
83,simdjson/simdjson,21114,https://github.com/simdjson/simdjson.git,https://github.com/simdjson/simdjson,C++,"Parsing gigabytes of JSON per second : used by Facebook/Meta Velox, the Node.js runtime, ClickHouse, WatermelonDB, Apache Doris, Milvus, StarRocks"
84,apache/mxnet,20823,https://github.com/apache/mxnet.git,https://github.com/apache/mxnet,C++,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more"
85,scottbez1/smartknob,20776,https://github.com/scottbez1/smartknob.git,https://github.com/scottbez1/smartknob,C++,Haptic input knob with software-defined endstops and virtual detents
86,pqrs-org/Karabiner-Elements,20590,https://github.com/pqrs-org/Karabiner-Elements.git,https://github.com/pqrs-org/Karabiner-Elements,C++,Karabiner-Elements is a powerful tool for customizing keyboards on macOS
87,deskflow/deskflow,19812,https://github.com/deskflow/deskflow.git,https://github.com/deskflow/deskflow,C++,Share a single keyboard and mouse between multiple computers.
88,xbmc/xbmc,19787,https://github.com/xbmc/xbmc.git,https://github.com/xbmc/xbmc,C++,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows."
89,catchorg/Catch2,19725,https://github.com/catchorg/Catch2.git,https://github.com/catchorg/Catch2,C++,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)"
90,trojan-gfw/trojan,19399,https://github.com/trojan-gfw/trojan.git,https://github.com/trojan-gfw/trojan,C++,An unidentifiable mechanism that helps you bypass GFW.
91,lettier/3d-game-shaders-for-beginners,19040,https://github.com/lettier/3d-game-shaders-for-beginners.git,https://github.com/lettier/3d-game-shaders-for-beginners,C++,"🎮 A step-by-step guide to implementing SSAO, depth of field, lighting, normal mapping, and more for your 3D game."
92,google/filament,18787,https://github.com/google/filament.git,https://github.com/google/filament,C++,"Filament is a real-time physically based rendering engine for Android, iOS, Windows, Linux, macOS, and WebGL2"
93,swoole/swoole-src,18737,https://github.com/swoole/swoole-src.git,https://github.com/swoole/swoole-src,C++,🚀 Coroutine-based concurrency library for PHP
94,cocos2d/cocos2d-x,18695,https://github.com/cocos2d/cocos2d-x.git,https://github.com/cocos2d/cocos2d-x,C++,"Cocos2d-x is a suite of open-source, cross-platform, game-development tools utilized by millions of developers across the globe. Its core has evolved to serve as the foundation for Cocos Creator 1.x & 2.x."
95,qinguoyi/TinyWebServer,18537,https://github.com/qinguoyi/TinyWebServer.git,https://github.com/qinguoyi/TinyWebServer,C++,:fire: Linux下C++轻量级WebServer服务器
96,alibaba/weex,18506,https://github.com/alibaba/weex.git,https://github.com/alibaba/weex,C++,A framework for building Mobile cross-platform UI
97,facebook/hhvm,18478,https://github.com/facebook/hhvm.git,https://github.com/facebook/hhvm,C++,A virtual machine for executing programs written in Hack.
98,uNetworking/uWebSockets,18217,https://github.com/uNetworking/uWebSockets.git,https://github.com/uNetworking/uWebSockets,C++,"Simple, secure & standards compliant web server for the most demanding of applications"
99,Tencent/MMKV,18153,https://github.com/Tencent/MMKV.git,https://github.com/Tencent/MMKV,C++,"An efficient, small mobile key-value storage framework developed by WeChat. Works on Android, iOS, macOS, Windows, POSIX, and OHOS."
100,78/xiaozhi-esp32,18024,https://github.com/78/xiaozhi-esp32.git,https://github.com/78/xiaozhi-esp32,C++,An MCP-based chatbot | 一个基于MCP的聊天机器人
101,facebook/yoga,18010,https://github.com/facebook/yoga.git,https://github.com/facebook/yoga,C++,Yoga is an embeddable layout engine targeting web standards.
102,haoel/leetcode,17895,https://github.com/haoel/leetcode.git,https://github.com/haoel/leetcode,C++,LeetCode Problems' Solutions 
103,TranslucentTB/TranslucentTB,17807,https://github.com/TranslucentTB/TranslucentTB.git,https://github.com/TranslucentTB/TranslucentTB,C++,A lightweight utility that makes the Windows taskbar translucent/transparent.
104,kyleneideck/BackgroundMusic,17787,https://github.com/kyleneideck/BackgroundMusic.git,https://github.com/kyleneideck/BackgroundMusic,C++,"Background Music, a macOS audio utility: automatically pause your music, set individual apps' volumes and record system audio."
105,MaaAssistantArknights/MaaAssistantArknights,17740,https://github.com/MaaAssistantArknights/MaaAssistantArknights.git,https://github.com/MaaAssistantArknights/MaaAssistantArknights,C++,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients."
106,microsoft/onnxruntime,17666,https://github.com/microsoft/onnxruntime.git,https://github.com/microsoft/onnxruntime,C++,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator"
107,microsoft/CNTK,17588,https://github.com/microsoft/CNTK.git,https://github.com/microsoft/CNTK,C++,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit"
